1741355179804;45.06140;7.67641
1741355179818.7505;45.06219;7.67700
1741355179833.501;45.06270;7.67628
1741355179848.2515;45.06230;7.67552
1741355179863.002;45.06150;7.67493
1741355179877.7524;45.06166;7.67391
1741355179892.503;45.06207;7.67277
1741355179907.2534;45.06170;7.67199
1741355179922.004;45.06090;7.67142
1741355179936.7544;45.06009;7.67085
1741355179951.505;45.05929;7.67028
1741355179966.2554;45.05849;7.66969
1741355179981.0059;45.05769;7.66913
1741355179995.7563;45.05749;7.66813
1741355180010.5068;45.05791;7.66701
1741355180025.2573;45.05851;7.66631
1741355180040.0078;45.05902;7.66544
1741355180054.7583;45.05981;7.66527
1741355180069.5088;45.06044;7.66509
1741355180078.8;45.06070;7.66437
1741355180078.8;45.06070;7.66437
1741355180096.117;45.06029;7.66551
1741355180113.4338;45.05989;7.66665
1741355180130.7507;45.05910;7.66618
1741355180148.0676;45.05874;7.66532
1741355180165.3845;45.05896;7.66428
1741355180182.7014;45.05912;7.66332
1741355180200.0183;45.05831;7.66274
1741355180217.3352;45.05761;7.66196
1741355180234.652;45.05692;7.66114
1741355180251.969;45.05623;7.66032
1741355180269.286;45.05555;7.65949
1741355180286.6028;45.05487;7.65866
1741355180290.9998;45.05469;7.65845
1741355180290.9998;45.05469;7.65845
1741355180304.3557;45.05471;7.65945
1741355180317.7117;45.05411;7.65983
1741355180331.0676;45.05331;7.65927
1741355180344.4236;45.05250;7.65870
1741355180357.7795;45.05216;7.65969
1741355180371.1355;45.05187;7.66089
1741355180384.4915;45.05158;7.66210
1741355180397.8474;45.05127;7.66329
1741355180411.2034;45.05083;7.66440
1741355180424.5593;45.05014;7.66520
1741355180437.9153;45.05026;7.66608
1741355180451.2712;45.05097;7.66687
1741355180464.6272;45.05168;7.66765
1741355180477.9832;45.05239;7.66843
1741355180491.339;45.05310;7.66921
1741355180503.1921;45.05331;7.66837
1741355180503.1921;45.05331;7.66837
1741355180518.2053;45.05261;7.66758
1741355180533.2185;45.05199;7.66789
1741355180548.2317;45.05262;7.66868
1741355180563.2449;45.05332;7.66947
1741355180578.258;45.05402;7.67027
1741355180593.2712;45.05456;7.67108
1741355180608.2844;45.05493;7.67200
1741355180623.2976;45.05452;7.67314
1741355180638.3108;45.05420;7.67433
1741355180653.324;45.05393;7.67554
1741355180668.3372;45.05474;7.67592
1741355180683.3503;45.05561;7.67626
1741355180698.3635;45.05647;7.67660
1741355180713.3767;45.05682;7.67747
1741355180728.39;45.05645;7.67864
1741355180743.403;45.05609;7.67980
1741355180748.2036;45.05597;7.68018
